name,country,parent,total,dems,repubs,year
Smiths Group Services Corp (Smiths Group),UK,Smiths Group PLC,64500,29500,35000,2020
Sodexo Inc,France,Sodexo,3000,0,3000,2020
Solvay America,Belgium,Solvay SA,27500,8000,19500,2020
Sony Pictures Entertainment (Sony Corp),Japan,Sony Corp,93500,63000,30500,2020
SSAB Americas,Sweden,SSAB AB,20000,4500,15500,2020
Standard Insurance Co,Japan,Meiji Yasuda Life Insurance,3500,0,3500,2020
Steris Corp,UK,Steris PLC,55750,12500,43250,2020
SUEZ Water,France,SUEZ Environnement,4000,3000,1000,2020
Sun Life Financial (Sun Life Financial),Canada,Sun Life Financial,98500,52500,43500,2020
Sunovion Pharmaceuticals (Sumitomo Chemical),Japan,Sumitomo Chemical,83500,37000,46500,2020
Sunpower Corp,France,Total SA,24000,23500,500,2020
Swedish Match North America (Swedish Match AB),Sweden,Swedish Match AB,3500,0,3500,2020
Swiss Re America,Switzerland,Swiss Re,43500,28000,15500,2020
Syngenta Corp,China,ChemChina,110500,42000,68500,2020
T-Mobile USA (Deutsche Telekom),Germany,Deutsche Telekom AG,899000,475500,422500,2020
T-Mobile USA (Deutsche Telekom),Germany,Deutsche Telekom,167000,71000,96000,2020
Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co),Japan,Takeda Pharmaceutical Co,126000,63000,63000,2020
Tate & Lyle Americas (Tate & Lyle),UK,Tate & Lyle,14750,3000,11750,2020
TD Bank USA,Canada,Toronto-Dominion Bank,151700,73200,78500,2020
TE Connectivity,Switzerland,TE Connectivity,100000,53000,47000,2020
Teva Pharmaceuticals USA,Israel,Teva Pharmaceutical Industries,67300,35800,31500,2020
Toyota Motor North America,Japan,Toyota Motor Corp,1052142,526000,526142,2020
Trane Technologies,Ireland,Trane Technologies,5000,2000,3000,2020
TransAmerica,Netherlands,Aegon NV,417500,195500,221000,2020
Transcanada USA Services (Transcanada Corp),Canada,TransCanada Corp,117000,48000,69000,2020
Travelport Inc,UK,Travelport Ltd,0,0,0,2020
UBS Americas,Switzerland,UBS AG,1526000,763500,762500,2020
UCB Inc (UCB SA),Belgium,UCB SA,22000,8000,14000,2020
Ultra Electronics USA,UK,Ultra Electronics,33000,13000,20000,2020
Universal Music Group (Vivendi),France,Vivendi,122750,71000,51750,2020
Valent USA (Sumitomo Chemical),Japan,Sumitomo Chemical,13500,8000,5500,2020
VNA Holding (AB Volvo),Sweden,AB Volvo,100500,41000,59500,2020
VT Halter Marine,Singapore,ST Engineering,10200,0,10200,2020
Washington Gas Light Co (AltaGas Ltd),Canada,AltaGas Ltd,23000,14500,8500,2020
Westinghouse Electric,Canada,Brookfield Business Partners,33500,4500,29000,2020
Wexler & Walker Public Policy Assoc (WPP Group),UK,WPP Group,0,0,0,2020
WSP worldwide,Canada,WSP Global,138050,100250,37800,2020
XL America (AXA),France,AXA,0,0,0,2020
ZF TRW Automotive (ZF Friedrichshafen AG),Germany,ZF Friedrichshafen AG,1000,1000,0,2020
Zurich Insurance (Zurich Insurance Group),Switzerland,Zurich Financial Services AG,207000,106500,100500,2020
