PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
"TransAmerica
                      
                    ",Netherlands/Aegon NV,"$325,500","$155,500","$169,000"
"Transcanada USA Services
                       (Transcanada Corp)
                    ",Canada/TransCanada Corp,"$95,000","$33,500","$61,500"
"Travelport Inc
                      
                    ",UK/Travelport Ltd,$0,$0,$0
"UBS Americas
                      
                    ",Switzerland/UBS AG,"$957,500","$427,000","$530,500"
"UCB Inc
                       (UCB SA)
                    ",Belgium/UCB SA,"$10,000","$2,500","$7,500"
"Ultra Electronics USA
                      
                    ",UK/Ultra Electronics,"$25,500","$13,000","$12,500"
"Universal Music Group
                       (Vivendi)
                    ",France/Vivendi,"$81,000","$45,500","$35,500"
"Valent USA
                       (Sumitomo Chemical)
                    ",Japan/Sumitomo Chemical,"$9,000","$5,000","$4,000"
"VNA Holding
                       (AB Volvo)
                    ",Sweden/AB Volvo,"$31,000","$10,000","$21,000"
"VT Halter Marine
                      
                    ",Singapore/ST Engineering,"$9,200",$0,"$9,200"
"Washington Gas Light Co
                       (AltaGas Ltd)
                    ",Canada/AltaGas Ltd,"$16,500","$11,000","$5,500"
"Westinghouse Electric
                      
                    ",Canada/Brookfield Business Partners,"$23,500","$3,500","$20,000"
"Wexler & Walker Public Policy Assoc
                       (WPP Group)
                    ",UK/WPP Group,$0,$0,$0
"WSP worldwide
                      
                    ",Canada/WSP Global,"$83,750","$60,750","$23,000"
"XL America
                       (AXA)
                    ",France/AXA,$0,$0,$0
"ZF TRW Automotive
                       (ZF Friedrichshafen AG)
                    ",Germany/ZF Friedrichshafen AG,"$1,000","$1,000",$0
"Zurich Insurance
                       (Zurich Insurance Group)
                    ",Switzerland/Zurich Financial Services AG,"$129,500","$77,500","$52,000"
